"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Feeders","Default Category/Cat/Toys","3","Yes","feeders","Feeders","","","Feeders","Feeders","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Scratching Posts","Default Category/Cat/Furniture","3","Yes","scratching-posts","Scratching Posts","","","Scratching Posts","Scratching Posts","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Rawhide","Default Category/Dog/Treats and Bones","2","Yes","rawhide","Rawhide","","","Rawhide","Rawhide","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Interactive","Default Category/Dog/Treats and Bones","3","Yes","interactive","Interactive","","","Interactive","Interactive","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Accessories","Default Category/Dog/Containment System","1","Yes","accessories","Accessories","","","Accessories","Accessories","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wood / Designer","Default Category/Dog/Crates","8","Yes","wood-designer","Wood / Designer","","","Wood / Designer","Wood / Designer","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Freestanding","Default Category/Dog/Gates","4","Yes","freestanding","Freestanding","","","Freestanding","Freestanding","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wood / Designer","Default Category/Dog/Crate","1","Yes","wood-designer","Wood / Designer","","","Wood / Designer","Wood / Designer","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wicker","Default Category/Dog/Crates","9","Yes","wicker","Wicker","","","Wicker","Wicker","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Litter Box Covers","Default Category/Cat/Litter Boxes","5","Yes","litter-box-covers","Litter Box Covers","","","Litter Box Covers","Litter Box Covers","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Ramps","Default Category/Dog/Furniture","3","Yes","ramps","Ramps","","","Ramps","Ramps","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Tracking","Default Category/Dog/Sporting Dog","5","Yes","tracking","Tracking","","","Tracking","Tracking","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Clickers","Default Category/Dog/Training","7","Yes","clickers","Clickers","","","Clickers","Clickers","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Books and DVDs","Default Category/Dog/Training","8","Yes","books-and-dvds","Books and DVDs","","","Books and DVDs","Books and DVDs","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Freeze Dried Food","Default Category/Dog/Food","2","Yes","freeze-dried-food","Freeze Dried Food","","","Freeze Dried Food","Freeze Dried Food","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Daily Supplements","Default Category/Dog/Wellness","7","Yes","daily-supplements","Daily Supplements","","","Daily Supplements","Daily Supplements","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Dental Care","Default Category/Dog/Wellness","8","Yes","dental-care","Dental Care","","","Dental Care","Dental Care","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Ultrasonic Remote Training","Default Category/Dog/Training","6","Yes","ultrasonic-remote-training","Ultrasonic Remote Training","","","Ultrasonic Remote Training","Ultrasonic Remote Training","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Wall Mounted","Default Category/Cat/Doors","2","Yes","wall-mounted","Wall Mounted","","","Wall Mounted","Wall Mounted","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"In-Ground Fences","Default Category/Cat/Containment Systemss","2","Yes","in-ground-fences","In-Ground Fences","","","In-Ground Fences","In-Ground Fences","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
"Boat Ladder","Default Category/Dog/Water Safety","4","Yes","boat-ladder","Boat Ladder","","","Boat Ladder","Boat Ladder","Yes","Products only_AND_Static block only","","Yes","","","No layout updates",""
